MATRICULA,SEMESTRE,Representación simbólica y angular del entorno,Comunicación activa en inglés,Relación entre compuestos orgánicos y el entorno,Comunicación en los ámbitos escolar y profesional,Emprendimiento e innovación,Manejo de aplicaciones por medios digitales,Desarrollo de pensamiento computacional,Identificación de redes de computadoras,Implementación de interfaces de programación,Análisis derivativo de funciones,Comunicación productiva en inglés,Interpretación de fenómenos físicos de la materia,Desarrollo ciudadano,Desarrollo ágil de sistemas,Aplicación de protocolos de datos,Aplicación de modelos ETL,Análisis de tendencias en datos,Tratamiento de datos y azar,Interpretación de normas de convivencia ambiental,Filosofía,Aplicación de modelos predictivos,Presentación y análisis prescriptivo de los datos,Análisis del lenguaje natural,Gestión de rendimiento de los datos
1084,6,,,,,,,,,,,,,,,,,,49.0,84.0,63.0,80.0,81.0,54.0,97.0
1054,4,,,,,,,,,,70.0,86.0,100.0,92.0,78.0,83.0,59.0,72.0,,,,,,,
1071,2,63.0,73.0,25.0,84.0,81.0,45.0,64.0,67.0,58.0,,,,,,,,,,,,,,,
1046,2,75.0,10.0,76.0,62.0,75.0,77.0,2.0,61.0,62.0,,,,,,,,,,,,,,,
1045,6,,,,,,,,,,,,,,,,,,62.0,91.0,86.0,92.0,72.0,100.0,98.0
1040,2,98.0,68.0,21.0,67.0,95.0,9.0,95.0,92.0,91.0,,,,,,,,,,,,,,,
1023,6,,,,,,,,,,,,,,,,,,38.0,90.0,80.0,51.0,61.0,61.0,84.0
1081,2,84.0,6.0,76.0,72.0,90.0,88.0,88.0,85.0,79.0,,,,,,,,,,,,,,,
1011,2,63.0,73.0,99.0,96.0,62.0,64.0,4.0,65.0,88.0,,,,,,,,,,,,,,,
1001,2,91.0,93.0,60.0,22.0,73.0,92.0,85.0,88.0,2.0,,,,,,,,,,,,,,,
1019,4,,,,,,,,,,96.0,78.0,64.0,100.0,89.0,75.0,91.0,85.0,,,,,,,
1031,4,,,,,,,,,,72.0,93.0,100.0,89.0,70.0,73.0,82.0,84.0,,,,,,,
1074,2,75.0,98.0,60.0,91.0,86.0,89.0,99.0,73.0,62.0,,,,,,,,,,,,,,,
1034,2,79.0,76.0,90.0,98.0,100.0,65.0,61.0,91.0,81.0,,,,,,,,,,,,,,,
1091,6,,,,,,,,,,,,,,,,,,94.0,79.0,91.0,97.0,74.0,77.0,89.0
1005,6,,,,,,,,,,,,,,,,,,100.0,95.0,100.0,33.0,76.0,61.0,64.0
1077,4,,,,,,,,,,66.0,95.0,100.0,75.0,76.0,39.0,80.0,85.0,,,,,,,
1078,2,76.0,93.0,81.0,66.0,82.0,100.0,89.0,82.0,64.0,,,,,,,,,,,,,,,
1013,2,93.0,80.0,74.0,60.0,69.0,70.0,77.0,90.0,60.0,,,,,,,,,,,,,,,
1032,2,68.0,77.0,87.0,70.0,65.0,80.0,68.0,96.0,94.0,,,,,,,,,,,,,,,
1056,4,,,,,,,,,,82.0,98.0,63.0,61.0,73.0,66.0,94.0,66.0,,,,,,,
1089,4,,,,,,,,,,86.0,62.0,43.0,82.0,75.0,71.0,74.0,3.0,,,,,,,
1027,4,,,,,,,,,,99.0,73.0,75.0,95.0,78.0,77.0,79.0,83.0,,,,,,,
1043,2,98.0,84.0,96.0,86.0,66.0,64.0,81.0,60.0,92.0,,,,,,,,,,,,,,,
1070,6,,,,,,,,,,,,,,,,,,16.0,73.0,47.0,60.0,91.0,88.0,98.0
1016,6,,,,,,,,,,,,,,,,,,70.0,74.0,92.0,61.0,67.0,83.0,75.0
1041,6,,,,,,,,,,,,,,,,,,94.0,21.0,74.0,71.0,98.0,78.0,78.0
1097,6,,,,,,,,,,,,,,,,,,77.0,80.0,71.0,67.0,70.0,89.0,86.0
1010,2,60.0,60.0,88.0,82.0,77.0,98.0,85.0,90.0,68.0,,,,,,,,,,,,,,,
1073,6,,,,,,,,,,,,,,,,,,94.0,93.0,89.0,99.0,100.0,100.0,94.0
1012,4,,,,,,,,,,88.0,70.0,93.0,99.0,91.0,69.0,84.0,73.0,,,,,,,
1048,2,98.0,90.0,100.0,64.0,45.0,90.0,63.0,94.0,81.0,,,,,,,,,,,,,,,
1086,6,,,,,,,,,,,,,,,,,,79.0,100.0,88.0,96.0,60.0,68.0,96.0
